Source:;TSAL.kicad_sch;;;;
Date:;05/02/2024 14:22;;;;
Tool:;Eeschema 7.0.6;;;;
Generator:;bom_csv_grouped_by_value.py;;;;
Component Count:;122;;;;
;;;;;
Collated Components:;;;;;
;;;;;
Item;Qty;Mouser Part Number;Reference(s);Value;Manufacturer_Name
6;1;926-LMV331M7/NOPB;CP1;Comparator;Texas Instruments
7;2;595-LMV393IPWR;CP2, CP5;Comparator_Dual;Texas Instruments
8;2;595-LMV339IPWR;CP3, CP4;Comparator_Quad;Texas Instruments
10;1;595-SN74HCS72QDRQ1;DL1;Bascule D SN74HCS72QDRQ1;Texas Instruments
11;10;595-SN74AHCT1G08DBVR;G1, G2, G3, G4, G5, G6, G8, G10, G11, G14;Gate AND SN74AHCT1G08DBVR;Texas Instruments
12;4;595-SN74AHCT1G32DBVR;G7, G9, G12, G15;Gate OR SN74AHCT1G32DBVR;Texas Instruments
13;2;595-SN74AHCT1G02DBVR;G13, G16;Gate NOR SN74AHCT1G02DBVR;Texas Instruments
15;6;538-22-11-2022;J1, J2, J3, J5, J6, J9;2P Droit 2-11-2022;Molex
16;2;538-22-11-2032;J4, J8;3P Droit 22-11-2032;Molex
17;1;538-22-11-2042;J7;4P Droit 22-11-2042;Molex
18;1;495-TSR2-2450;PS1;Alim HP TSR_2-2450;Traco Power
19;2;781-SQ2348ES-T1_GE3;Q1, Q2;NMOS SQ2348ES-T1_GE3;Vishay
20;2;781-SI2343CDS-T1-GE3;Q3, Q4;PMOS SI2343CDS-T1-GE3;Vishay
35;1;652-3296Y-1-223LF;RV1;Varystor 3296Y-1-223LF;Bourns
36;1;926-LM555CMX/NOPB;TI1;Timer 555 LM555CMX_NOPB;Texas Instruments
38;1;595-TLV9064QPWRQ1 ;U1;Opamp_Quad;Texas Instruments
39;1; 595-TLV9061QDCKRQ1 ;U2;Opamp;Texas Instruments
