Ref,Val,Package,PosX,PosY,Rot,Side
"","","",144.780000,-86.360000,0.000000,top
"","","",55.880000,-86.360000,0.000000,top
"","","",144.780000,-30.480000,0.000000,top
"C1","Condensateur 0805Y1000104JXT","CAPC2012X130N",108.293122,-72.908477,90.000000,top
"C2","Condensateur 0805Y1000104JXT","CAPC2012X130N",118.750518,-65.973811,180.000000,top
"C3","Condensateur 0805Y1000104JXT","CAPC2012X130N",125.423392,-74.165346,90.000000,top
"C4","Condensateur 0805Y1000104JXT","CAPC2012X130N",103.627957,-51.342162,0.000000,top
"C5","Condensateur 0805Y1000104JXT","CAPC2012X130N",125.859152,-48.374284,-90.000000,top
"C6","Condensateur 0805Y1000104JXT","CAPC2012X130N",129.603929,-43.192103,180.000000,top
"C7","Condensateur 0805Y1000104JXT","CAPC2012X130N",74.052647,-64.176814,90.000000,top
"C8","Condensateur 0805Y1000104JXT","CAPC2012X130N",86.040889,-58.608377,0.000000,top
"C9","Condensateur 0805Y1000104JXT","CAPC2012X130N",100.268412,-63.012896,90.000000,top
"C10","Condensateur 0805Y1000104JXT","CAPC2012X130N",137.902963,-60.535034,-90.000000,top
"C11","Condensateur 0805Y1000104JXT","CAPC2012X130N",125.259591,-54.500538,0.000000,top
"C12","Condensateur 0805Y1000104JXT","CAPC2012X130N",68.457723,-69.225087,90.000000,top
"C13","Condensateur 0805Y1000104JXT","CAPC2012X130N",98.020118,-38.095803,-90.000000,top
"C14","Condensateur 0805Y1000104JXT","CAPC2012X130N",105.639460,-41.151278,-90.000000,top
"C15","Condensateur 0805Y1000104JXT","CAPC2012X130N",84.633616,-65.579762,0.000000,top
"C16","C","CP_Radial_D5.0mm_P2.00mm",123.006657,-36.344142,180.000000,top
"C17","Condensateur 0805Y1000104JXT","CAPC2012X130N",112.217822,-54.582555,180.000000,top
"C18","Condensateur 0805Y1000104JXT","CAPC2012X130N",70.423736,-56.008037,180.000000,top
"C19","Condensateur 0805Y1000104JXT","CAPC2012X130N",66.040000,-60.960000,0.000000,top
"CP1","Comparateur Double LM393LVDR","SOIC127P600X175-8N",116.840000,-71.120000,0.000000,top
"CP2","Comparateur TS391ILT","SOT95P280X145-5N",104.174143,-60.867294,180.000000,top
"D1","LED","LED_D5.0mm",61.048570,-74.944433,180.000000,top
"D2","LED","LED_D5.0mm",137.581681,-71.632042,180.000000,top
"D3","LED","LED_D5.0mm",69.788861,-74.980558,0.000000,top
"D4","LED","LED_D5.0mm",84.030846,-76.238995,0.000000,top
"D5","LED","LED_D5.0mm",114.129188,-38.029457,180.000000,top
"D6","LED","LED_D5.0mm",90.406399,-66.943603,0.000000,top
"D7","LED","LED_D5.0mm",120.478110,-42.131084,-90.000000,top
"D8","LED","LED_D5.0mm",134.620000,-40.640000,0.000000,top
"D9","LED","LED_D5.0mm",91.440000,-53.340000,90.000000,top
"D10","LED","LED_D5.0mm",66.044862,-52.755890,90.000000,top
"D11","LED","LED_D5.0mm",78.740000,-53.340000,90.000000,top
"DL1","Bascule D SN74HCS72QDRQ1","SOIC127P600X175-14N",115.354878,-59.584497,90.000000,top
"G1","Gate AND SN74AHCT1G08DBVR","SOT95P280X145-5N",83.900451,-61.838242,0.000000,top
"G2","Gate AND SN74AHCT1G08DBVR","SOT95P280X145-5N",83.906656,-68.387441,0.000000,top
"G3","Gate AND SN74AHCT1G08DBVR","SOT95P280X145-5N",65.279483,-58.078660,0.000000,top
"G4","Gate AND SN74AHCT1G08DBVR","SOT95P280X145-5N",65.321166,-68.976712,0.000000,top
"G5","Gate AND SN74AHCT1G08DBVR","SOT95P280X145-5N",65.186071,-63.999141,0.000000,top
"G6","Gate AND SN74AHCT1G08DBVR","SOT95P280X145-5N",136.018753,-64.013947,0.000000,top
"G7","Gate AND SN74AHCT1G08DBVR","SOT95P280X145-5N",90.190484,-60.973844,0.000000,top
"G8","Gate OR SN74AHCT1G32DBVR","SOT95P280X145-5N",70.580707,-63.839806,0.000000,top
"G9","Gate NAND SN74AHCT1G00DBVR","SOT95P280X145-5N",101.615442,-44.036774,0.000000,top
"G10","Gate OR SN74AHCT1G32DBVR","SOT95P280X145-5N",96.741739,-41.504425,0.000000,top
"G11","Gate OR SN74AHCT1G32DBVR","SOT95P280X145-5N",70.386769,-58.802609,0.000000,top
"G12","Gate NOR SN74AHCT1G02DBVR","SOT95P280X145-5N",106.404703,-45.215032,0.000000,top
"G13","Gate OR SN74AHCT1G32DBVR","SOT95P280X145-5N",110.176237,-48.925639,0.000000,top
"J1","2P Droit 2-11-2022","MOLEX_22-11-2022",64.546653,-83.810620,180.000000,top
"J2","2P Droit 2-11-2022","MOLEX_22-11-2022",73.660000,-83.820000,180.000000,top
"J3","2P Droit 2-11-2022","MOLEX_22-11-2022",86.360000,-83.820000,180.000000,top
"J4","3P Droit 22-11-2032","MOLEX_22-11-2032",99.060000,-30.480000,0.000000,top
"J5","2P Droit 2-11-2022","MOLEX_22-11-2022",85.084997,-30.487668,0.000000,top
"J6","2P Droit 2-11-2022","MOLEX_22-11-2022",146.178220,-61.207727,-90.000000,top
"J7","2P Droit 2-11-2022","MOLEX_22-11-2022",61.558894,-30.351579,0.000000,top
"J8","2P Droit 2-11-2022","MOLEX_22-11-2022",72.343000,-30.443334,0.000000,top
"J9","2P Droit 2-11-2022","MOLEX_22-11-2022",145.788070,-38.100266,-90.000000,top
"J10","2P Droit 2-11-2022","MOLEX_22-11-2022",146.263833,-46.719090,-90.000000,top
"J11","2P Droit 2-11-2022","MOLEX_22-11-2022",114.300000,-30.480000,0.000000,top
"K1","SSR CPC1394GR","CPC1394GR",86.360000,-40.640000,180.000000,top
"K2","SSR CPC1394GR","CPC1394GR",60.960000,-40.640000,180.000000,top
"K3","SSR CPC1394GR","CPC1394GR",73.660000,-40.640000,180.000000,top
"PS1","Alim HP TSR_2-2450","TSR-2",125.557680,-26.791500,0.000000,top
