"Reference","Value","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Qty"
"C2,C3,C6,C7,C8","100n","Syfer","0805Y1000104JXT","","","5"
"C4,C5","10n","Syfer","0805Y1000104JXT","","","2"
"C9","4.7n","Syfer","0805Y1000104JXT","","","1"
"C10","22p","Syfer","0805Y1000104JXT","","","1"
"IC1","LTC6820HMS#PBF","Analog Devices","LTC6820HMS#PBF","584-LTC6820HMS#PBF","https://www.mouser.co.uk/ProductDetail/Analog-Devices/LTC6820HMSPBF?qs=hVkxg5c3xu%252BAhS55eUb%252BEQ%3D%3D","1"
"IC2","ADC I2C ADS1115QNKSRQ1","Texas Instruments","ADS1115QNKSRQ1","595-ADS1115QNKSRQ1","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/ADS1115QNKSRQ1?qs=ulEaXIWI0c%252B%252BH1ufhGRAvg%3D%3D","1"
"IC3","CAN Controller MCP2518FDT-H_SL","Microchip","MCP2518FDT-H/SL","579-MCP2518FDT-H/SL","https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP2518FDT-H-SL?qs=T3oQrply3y91PFfynJbKYg%3D%3D","1"
"IC4","CAN Transceiver BD41041FJ-CE2","ROHM Semiconductor","BD41041FJ-CE2","755-BD41041FJ-CE2","https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/BD41041FJ-CE2?qs=%252BEew9%252B0nqrCizAYMbF4Vxg%3D%3D","1"
"J1","GPIO","","","","","1"
"J2,J4","4P Angle 171857-4004","Molex","171857-4004","538-171857-4004","https://www.mouser.co.uk/ProductDetail/Molex/171857-4004?qs=v0t%252BUMfTP8MMewSk%252BpG0KA%3D%3D","2"
"J3,J5","2P Angle 171857-4002","Molex","171857-4002","538-171857-4002","https://www.mouser.co.uk/ProductDetail/Molex/171857-4002?qs=v0t%252BUMfTP8OkFsdOsfcitg%3D%3D","2"
"J6","Connecteur USB-C USB4720-03-A","GCT (GLOBAL CONNECTOR TECHNOLOGY)","USB4720-03-A","640-USB472003A","https://www.mouser.co.uk/ProductDetail/GCT/USB4720-03-A?qs=Z%252BL2brAPG1IK%252BbxHmYg8zQ%3D%3D","1"
"PS1","Alim","Traco Power","THN 30-1211","495-THN-30-1211","https://www.mouser.co.uk/ProductDetail/TRACO-Power/THN-30-1211?qs=ckJk83FOD0XjmIpWKdS%252Buw%3D%3D","1"
"Q1","NMOS SQ2348ES-T1_GE3","Vishay","SQ2348ES-T1_GE3","781-SQ2348ES-T1_GE3","https://www.mouser.co.uk/ProductDetail/Vishay-Siliconix/SQ2348ES-T1_GE3?qs=jHkklCh7amgC88blremf%252Bw%3D%3D","1"
"R3,R8,R9,R10","2k","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","4"
"R4","2.8k","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","1"
"R5","1.21k","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","1"
"R6,R7","51","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","2"
"R11,R12","60","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","2"
"R13","3k9","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","1"
"R14,R15","8k2","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","2"
"S1,S2","CAS-120B","Nidec Copal","CAS-120B","229-CAS-120B","https://www.mouser.co.uk/ProductDetail/Nidec-Copal/CAS-120B?qs=XeJtXLiO41SFQrNWr8fvAQ%3D%3D","2"
"T1","SM91502ALE","Bourns","SM91502ALE","652-SM91502ALE","https://www.mouser.co.uk/ProductDetail/Bourns/SM91502ALE?qs=qSfuJ%252Bfl%2Fd5OMMG8eLgKCQ%3D%3D","1"
"Y1","Oscillateur CB3-3C-20M0000","CTS","CB3-3C-20M0000","774-CB3-3C-20M0","https://www.mouser.co.uk/ProductDetail/CTS-Electronic-Components/CB3-3C-20M0000?qs=HL%252BYNjdyZ0siopZOWdAAcw%3D%3D","1"
