"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","0.1u 630V","https://componentsearchengine.com/Datasheets/1/GCJ43DR72J104KXJ1L.pdf","CAPC4532X200N","1",""
"C2,C3","10u","http://docs-europe.electrocomponents.com/webdocs/119d/0900766b8119d7bc.pdf","EPSA_lib:CAPC2012X130N","2",""
"C4","10p 630V","https://psearch.en.murata.com/capacitor/product/GRM31A5C2J100JW01%23.html","CAPC3216X100N","1",""
"C5,C8,C10","0.1u","http://docs-europe.electrocomponents.com/webdocs/119d/0900766b8119d7bc.pdf","EPSA_lib:CAPC2012X130N","3",""
"C11,C12,C13","47u","http://psearch.en.murata.com/capacitor/product/GRM32ER71E226KE15%23.pdf","CAPC3225X270N","3",""
"CP1","Comparateur TS391ILT","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00001660.pdf","EPSA_lib:SOT95P280X145-5N","1",""
"D2,D3","Diode US1KFA","https://www.arrow.com/en/products/us1kfa/on-semiconductor","SODFL3618X143N","2",""
"D4","Diode CMDSH2-3_TR_PBFREE","https://my.centralsemi.com/get_document.php?cmp=1&mergetype=pd&mergepath=pd&pdf_id=CMDSH2-3.PDF","SOD2512X110N","1",""
"F1","200mA","https://www.belfuse.com/resources/datasheets/circuitprotection/ds-cp-0adax-series.pdf","0ADAP0200RE","1",""
"IC1","Contrôleur LT8316EFE#PBF","https://www.analog.com/media/en/technical-documentation/data-sheets/LT8316.pdf","LT8316EFEPBF","1",""
"J1","2P Angle HV 200241-1212","https://componentsearchengine.com/Datasheets/1/200241-1212.pdf","2002411212","1",""
"J7","2P Droit 2-11-2022","","EPSA_lib:MOLEX_22-11-2022","1",""
"L1","1m","http://componentsearchengine.com/Datasheets/3/7447709102.pdf","WE-PD_1260_1245_1280_121054","1",""
"Q1","NMOS TK3P80E_RQ","https://toshiba.semicon-storage.com/info/docget.jsp?did=14695&prodName=TK3P80E","TK3P80ERQ","1",""
"Q2","NMOS SQ2348ES-T1_GE3","http://www.vishay.com/docs/63706/sq2348es.pdf","EPSA_lib:SOT95P237X112-3N","1",""
"R1","0.22","http://www.susumu.co.jp/common/pdf/n_catalog_partition08_en.pdf","RESC1608X55N","1",""
"R2","2.4k","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","EPSA_lib:RESC3216X70N","1",""
"R3,R9","10k","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","EPSA_lib:RESC3216X70N","2",""
"R4,R5","22k","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","EPSA_lib:RESC3216X70N","2",""
"R6,R7,R8","390k","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","EPSA_lib:RESC3216X70N","3",""
"R10","18k","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","EPSA_lib:RESC3216X70N","1",""
"R11,R13","2k","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","EPSA_lib:RESC3216X70N","2",""
"R12","1k","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","EPSA_lib:RESC3216X70N","1",""
"U1","Alim LP TSR_0.5-2450","https://tracopower.com/tsr0-5-datasheet/","EPSA_lib:TSR-0.5-2433","1",""
"Z1","Diode Zener CMHZ4107_TR_PBFREE","https://my.centralsemi.com/datasheets/CMHZ4099-4125.PDF","SOD3816X135N","1",""
