"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"C2,C3";"CAPC2012X130N";2;"10u";;;
2;",,,";"";4;"";;;
3;"C5,C8,C10";"CAPC2012X130N";3;"0.1u";;;
4;"L1";"WE-PD_1260_1245_1280_121054";1;"1m";;;
5;"C4";"CAPC3216X100N";1;"10p 630V";;;
6;"C1";"CAPC4532X200N";1;"0.1u 630V";;;
7;"J1";"2002411112";1;"2P Angle HV 200241-1212";;;
8;"R6,R8,R7";"RESC3216X70N";3;"390k";;;
9;"C13,C11,C12";"CAPC3225X270N";3;"47u";;;
10;"R10";"RESC3216X70N";1;"18k";;;
11;"D2,D3";"SODFL3618X143N";2;"Diode US1KFA";;;
12;"J7";"MOLEX_22-11-2022";1;"2P Droit 2-11-2022";;;
13;"R3,R9";"RESC3216X70N";2;"10k";;;
14;"U1";"TSR-0.5-2433";1;"Alim LP TSR_0.5-2450";;;
15;"Z1";"SOD3816X135N";1;"Diode Zener CMHZ4107_TR_PBFREE";;;
16;"R1";"RESC1608X55N";1;"0.22";;;
17;"R4,R5";"RESC3216X70N";2;"22k";;;
18;"Q2";"SOT95P237X112-3N";1;"NMOS SQ2348ES-T1_GE3";;;
19;"R13,R11";"RESC3216X70N";2;"2k";;;
20;"F1";"0ADAP0200RE";1;"200mA";;;
21;"R2";"RESC3216X70N";1;"2.4k";;;
22;"IC1";"LT8315EFEPBF";1;"Contrôleur LT8316EFE#PBF";;;
23;"Q1";"TK3P80ERQ";1;"NMOS TK3P80E_RQ";;;
24;"R12";"RESC3216X70N";1;"1k";;;
25;"CP1";"SOT95P280X145-5N";1;"Comparateur TS391ILT";;;
26;"D4";"SOD2512X110N";1;"Diode CMDSH2-3_TR_PBFREE";;;
