Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",140.788000,-68.250000,0.000000,Top
"C2","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.750000,-73.250000,90.000000,Top
"C3","0.22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",145.788000,-74.250000,90.000000,Top
"C4","2.2u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",136.911722,-73.839704,90.000000,Top
"C5","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",190.000000,-88.500000,0.000000,Top
"C6","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",153.500000,-93.037500,90.000000,Top
"C7","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.500000,-93.000000,90.000000,Top
"C8","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",165.500000,-93.500000,90.000000,Top
"C9","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",162.500000,-93.500000,90.000000,Top
"C10","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",150.000000,-101.500000,0.000000,Top
"C11","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",150.000000,-99.500000,0.000000,Top
"C12","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-108.500000,-90.000000,Top
"C13","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-104.500000,-90.000000,Top
"C14","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-100.500000,-90.000000,Top
"C15","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-96.500000,-90.000000,Top
"C16","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-92.500000,-90.000000,Top
"C17","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-88.500000,-90.000000,Top
"C18","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-84.500000,-90.000000,Top
"C19","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-80.500000,-90.000000,Top
"C20","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-76.500000,-90.000000,Top
"C21","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-72.500000,-90.000000,Top
"C22","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-68.500000,-90.000000,Top
"C23","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-112.500000,-90.000000,Top
"C24","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",126.000000,-116.000000,180.000000,Top
"C25","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",139.000000,-92.000000,0.000000,Top
"C26","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",184.537500,-92.000000,180.000000,Top
"IC1","LT3990EMSE#TRPBF","SOP50P490X110-17N",141.288000,-72.250000,0.000000,Top
"IC2","LTC6255IS6#TRMPBF","SOT95P280X100-6N",180.000000,-90.450000,180.000000,Top
"IC3","ADG728BRUZ-REEL7","SOP65P640X120-16N",187.000000,-95.875000,180.000000,Top
"IC4","ADG728BRUZ-REEL7","SOP65P640X120-16N",187.000000,-84.500000,0.000000,Top
"IC6","LTC6811IG-1#PBF","SOP50P780X200-48N",141.500000,-100.000000,0.000000,Top
"J1","Conn_01x02_Pin","RHDR2W97P0X254_1X2_654X508X1379P",153.460000,-68.155000,0.000000,Top
"J2","Conn_01x07_Pin","SHDRRA7W77P0X254_1X7_2032X1359X699P",92.050000,-104.000000,180.000000,Top
"J3","Conn_01x02_Pin","RHDR2W97P0X254_1X2_654X508X1379P",163.000000,-68.155000,0.000000,Top
"J4","Conn_01x08_Pin","SHDRRA9W69P0X254_1X9_2527X1359X741P",175.840000,-104.000000,180.000000,Top
"J5","Conn_01x08_Pin","SHDRRA9W69P0X254_1X9_2527X1359X741P",196.200000,-77.775000,0.000000,Top
"J6","Conn_01x07_Pin","SHDRRA7W77P0X254_1X7_2032X1359X699P",76.930000,-77.500000,0.000000,Top
"L1","33u","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",147.288000,-78.250000,0.000000,Top
"Q1","Q_PMOS_GDS","SOT-23-3",103.050000,-111.000000,180.000000,Top
"Q2","Q_PMOS_GDS","SOT-23-3",103.050000,-106.500000,180.000000,Top
"Q3","Q_PMOS_GDS","SOT-23-3",103.050000,-102.050000,180.000000,Top
"Q4","Q_PMOS_GDS","SOT-23-3",103.050000,-97.550000,180.000000,Top
"Q5","Q_PMOS_GDS","SOT-23-3",103.050000,-93.050000,180.000000,Top
"Q6","Q_PMOS_GDS","SOT-23-3",102.912500,-88.500000,180.000000,Top
"Q7","Q_PMOS_GDS","SOT-23-3",103.050000,-84.050000,180.000000,Top
"Q8","Q_PMOS_GDS","SOT-23-3",103.050000,-79.500000,180.000000,Top
"Q9","Q_PMOS_GDS","SOT-23-3",102.912500,-75.050000,180.000000,Top
"Q10","Q_PMOS_GDS","SOT-23-3",103.050000,-70.500000,180.000000,Top
"Q11","Q_PMOS_GDS","SOT-23-3",103.050000,-65.950000,180.000000,Top
"Q12","Q_PMOS_GDS","SOT-23-3",103.050000,-115.500000,180.000000,Top
"R1","316k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",136.788000,-66.750000,-90.000000,Top
"R2","1M","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",140.788000,-65.750000,180.000000,Top
"R3","374k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",147.288000,-68.250000,0.000000,Top
"R4","470","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",135.112465,-70.768955,0.000000,Top
"R5","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",180.000000,-86.000000,-90.000000,Top
"R6","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",178.500000,-81.500000,0.000000,Top
"R7","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",173.000000,-97.000000,180.000000,Top
"R8","51","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",149.500000,-90.000000,0.000000,Top
"R9","51","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",156.500000,-90.000000,0.000000,Top
"R10","51","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",168.500000,-90.000000,180.000000,Top
"R11","51","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",162.500000,-90.000000,180.000000,Top
"R12","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-108.500000,0.000000,Top
"R13","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-106.500000,0.000000,Top
"R14","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-111.000000,180.000000,Top
"R15","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-110.500000,0.000000,Top
"R16","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-106.500000,180.000000,Top
"R17","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-102.500000,0.000000,Top
"R18","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-104.500000,0.000000,Top
"R19","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-102.000000,180.000000,Top
"R20","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-98.500000,0.000000,Top
"R21","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-100.500000,0.000000,Top
"R22","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-97.500000,180.000000,Top
"R23","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-94.500000,0.000000,Top
"R24","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-96.500000,0.000000,Top
"R25","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.500000,-93.000000,180.000000,Top
"R26","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-90.500000,0.000000,Top
"R27","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-92.500000,0.000000,Top
"R28","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.500000,-88.500000,180.000000,Top
"R29","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-86.500000,0.000000,Top
"R30","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-88.500000,0.000000,Top
"R31","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-84.000000,180.000000,Top
"R32","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-82.500000,0.000000,Top
"R33","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-84.500000,0.000000,Top
"R34","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-79.500000,180.000000,Top
"R35","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-78.500000,0.000000,Top
"R36","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-80.500000,0.000000,Top
"R37","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-75.000000,180.000000,Top
"R38","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-74.500000,0.000000,Top
"R39","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-76.500000,0.000000,Top
"R40","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-70.500000,180.000000,Top
"R41","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",116.950000,-70.500000,0.000000,Top
"R42","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-72.500000,0.000000,Top
"R43","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-66.000000,180.000000,Top
"R44","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-66.500000,0.000000,Top
"R45","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-68.500000,0.000000,Top
"R46","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-115.500000,180.000000,Top
"R47","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-114.500000,0.000000,Top
"R48","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-112.500000,0.000000,Top
"R49","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",150.500000,-94.500000,90.000000,Top
"R50","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",155.500000,-97.550000,-90.000000,Top
"R51","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",138.000000,-88.500000,-90.000000,Top
"R52","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",185.633538,-88.818599,180.000000,Top
"T1","SM91501ALE","SOP200P1473X500-12N",159.500000,-79.500000,-90.000000,Top
