Comment,Designator,Footprint,LCSC,Quantity
Q_PMOS_GDS,"Q1,Q10,Q11,Q12,Q18,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9",SOT-23-3,C10487,13
25,"R14,R16,R19,R22,R25,R28,R31,R34,R37,R40,R43,R46,R68",R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,C107659,13
10n,"C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C32,C6,C7,C8,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1710,18
100,"R13,R15,R17,R20,R23,R26,R29,R32,R35,R38,R41,R44,R47,R51,R69,R7",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17901,16
10k,R52,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17902,1
1M,R2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17927,1
4.7k,"R5,R6",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17936,2
51,"R10,R11,R8,R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C18019,4
22p,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1804,1
316k,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C247297,1
33u,L1,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,C250234,1
3.3K,"R12,R18,R21,R24,R27,R30,R33,R36,R39,R42,R45,R48,R70",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C26032,13
100n,C25,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233,1
1u,"C10,C11,C26,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,4
374k,R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C2984514,1
ADBMS1818ASWZ,U1,05-08-1982_ADI,C3682393,1
2.2u,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C377773,1
1k,"R49,R50",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4410,2
470,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4502,1
22u,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783,1
MAX4239AUT,U2,SOT-23-6,C479740,1
0.22u,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C5378,1
ADG728BRUZ-REEL7,"IC3,IC4",SOP65P640X120-16N,C579101,2
LT3990EMSE#TRPBF,IC1,SOP50P490X110-17N,C580168,1
SM91501ALE,T1,SOP200P1473X500-12N,,1
