Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.788,-68.25,0.0,top
C10,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,169.9625,-110.0,180.0,top
C11,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,165.4625,-110.0,180.0,top
C12,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.0,-108.5,-90.0,top
C13,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.0,-104.5,-90.0,top
C14,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.0,-100.5,-90.0,top
C15,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.0,-96.5,-90.0,top
C16,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.0,-92.5,-90.0,top
C17,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.0,-88.5,-90.0,top
C18,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.0,-84.5,-90.0,top
C19,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.0,-80.5,-90.0,top
C2,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,149.75,-73.25,90.0,top
C20,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.0,-76.5,-90.0,top
C21,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.0,-72.5,-90.0,top
C22,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.0,-68.5,-90.0,top
C23,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.0,-112.5,-90.0,top
C24,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,126.0,-116.0,180.0,top
C25,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.4625,-84.5,0.0,top
C26,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,184.5375,-92.0,180.0,top
C3,0.22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.788,-74.25,90.0,top
C32,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,171.5375,-116.5,180.0,top
C4,2.2u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.911722,-73.839704,90.0,top
C5,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,190.6,-88.8,0.0,top
C6,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,153.5,-93.0375,90.0,top
C7,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,156.5,-93.0,90.0,top
C8,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,165.5,-93.5,90.0,top
C9,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,162.5,-93.5,90.0,top
IC1,LT3990EMSE#TRPBF,SOP50P490X110-17N,141.288,-72.25,0.0,top
IC3,ADG728BRUZ-REEL7,SOP65P640X120-16N,187.0,-95.875,180.0,top
IC4,ADG728BRUZ-REEL7,SOP65P640X120-16N,187.0,-84.5,0.0,top
