Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,22p,
"C10, C11, C26, C5",0805,4,1u,
"C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C32, C6, C7, C8, C9",0805,18,10n,
C2,0805,1,22u,
C25,0805,1,100n,
C3,0805,1,0.22u,
C4,0805,1,2.2u,
IC1,SOP50P490X110-17N,1,LT3990EMSE#TRPBF,
IC2,SOT95P280X100-6N,1,LTC6255IS6#TRMPBF,
"IC3, IC4",SOP65P640X120-16N,2,ADG728BRUZ-REEL7,
"J1, J3",RHDR2W97P0X254_1X2_654X508X1379P,2,Conn_01x02_Pin,
"J2, J6",SHDRRA7W77P0X254_1X7_2032X1359X699P,2,Conn_01x07_Pin,
"J4, J5",SHDRRA8W50P0X254_1X8_2273X1359X741P,2,Conn_01x08_Pin,
L1,1210,1,33u,
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23-3,12,Q_PMOS_GDS,
Q18,SOT95P237X112-3N,1,Q_PMOS_GDS,
R1,1206,1,316k,
"R10, R11, R8, R9",1206,4,51,
"R12, R18, R21, R24, R27, R30, R33, R36, R39, R42, R45, R48, R70",1206,13,3.3K,
"R13, R15, R17, R20, R23, R26, R29, R32, R35, R38, R41, R44, R47, R51, R69, R7",1206,16,100,
"R14, R16, R19, R22, R25, R28, R31, R34, R37, R40, R43, R46, R68",2512,13,25,
R2,1206,1,1M,
R3,1206,1,374k,
R4,1206,1,470,
"R49, R50",1206,2,1k,
"R5, R6",1206,2,4.7k,
R52,1206,1,10k,
T1,SOP200P1473X500-12N,1,SM91501ALE,
U1,05-08-1982_ADI,1,ADBMS1818ASWZ,
