Designator,Mid X,Mid Y,Rotation,Layer
C1,140.788,-68.25,0.0,top
C10,169.9625,-110.0,180.0,top
C11,165.4625,-110.0,180.0,top
C12,127.0,-108.5,270.0,top
C13,127.0,-104.5,270.0,top
C14,127.0,-100.5,270.0,top
C15,127.0,-96.5,270.0,top
C16,127.0,-92.5,270.0,top
C17,127.0,-88.5,270.0,top
C18,127.0,-84.5,270.0,top
C19,127.0,-80.5,270.0,top
C2,149.75,-73.25,90.0,top
C20,127.0,-76.5,270.0,top
C21,127.0,-72.5,270.0,top
C22,127.0,-68.5,270.0,top
C23,127.0,-112.5,270.0,top
C24,126.0,-116.0,180.0,top
C25,140.4625,-84.5,0.0,top
C26,184.5375,-92.0,180.0,top
C3,145.788,-74.25,90.0,top
C32,171.5375,-116.5,180.0,top
C4,136.911722,-73.839704,90.0,top
C5,190.6,-88.8,0.0,top
C6,153.5,-93.0375,90.0,top
C7,156.5,-93.0,90.0,top
C8,165.5,-93.5,90.0,top
C9,162.5,-93.5,90.0,top
IC1,141.288,-72.25,0.0,top
IC2,180.0,-90.45,180.0,top
IC3,187.0,-95.875,180.0,top
IC4,187.0,-84.5,0.0,top
J1,154.73,-68.155,0.0,top
J2,84.43,-104.0,180.0,top
J3,164.27,-68.155,0.0,top
J4,187.25,-104.0,180.0,top
J5,187.29,-77.8,0.0,top
J6,84.55,-77.5,0.0,top
L1,147.288,-78.25,0.0,top
Q1,103.05,-111.0,0.0,top
Q10,103.05,-70.5,0.0,top
Q11,103.05,-65.95,0.0,top
Q12,103.05,-115.5,0.0,top
Q18,164.45,-114.0,0.0,top
Q2,103.05,-106.5,0.0,top
Q3,103.05,-102.05,0.0,top
Q4,103.05,-97.55,0.0,top
Q5,103.05,-93.05,0.0,top
Q6,102.9125,-88.5,0.0,top
Q7,103.05,-84.05,0.0,top
Q8,103.05,-79.5,0.0,top
Q9,102.9125,-75.05,0.0,top
R1,136.788,-66.75,270.0,top
R10,168.5,-90.0,180.0,top
R11,162.5,-90.0,180.0,top
R12,123.0,-108.5,0.0,top
R13,117.0,-106.5,0.0,top
R14,109.55,-111.0,180.0,top
R15,117.0,-110.5,0.0,top
R16,109.55,-106.5,180.0,top
R17,117.0,-102.5,0.0,top
R18,123.0,-104.5,0.0,top
R19,109.55,-102.0,180.0,top
R2,140.788,-65.75,180.0,top
R20,117.0,-98.5,0.0,top
R21,123.0,-100.5,0.0,top
R22,109.55,-97.5,180.0,top
R23,117.0,-94.5,0.0,top
R24,123.0,-96.5,0.0,top
R25,109.5,-93.0,180.0,top
R26,117.0,-90.5,0.0,top
R27,123.0,-92.5,0.0,top
R28,109.5,-88.5,180.0,top
R29,117.0,-86.5,0.0,top
R3,147.288,-68.25,0.0,top
R30,123.0,-88.5,0.0,top
R31,109.55,-84.0,180.0,top
R32,117.0,-82.5,0.0,top
R33,123.0,-84.5,0.0,top
R34,109.55,-79.5,180.0,top
R35,117.0,-78.5,0.0,top
R36,123.0,-80.5,0.0,top
R37,109.55,-75.0,180.0,top
R38,117.0,-74.5,0.0,top
R39,123.0,-76.5,0.0,top
R4,135.112465,-70.768955,0.0,top
R40,109.55,-70.5,180.0,top
R41,116.95,-70.5,0.0,top
R42,123.0,-72.5,0.0,top
R43,109.55,-66.0,180.0,top
R44,117.0,-66.5,0.0,top
R45,123.0,-68.5,0.0,top
R46,109.55,-115.5,180.0,top
R47,117.0,-114.5,0.0,top
R48,123.0,-112.5,0.0,top
R49,150.5,-94.5,90.0,top
R5,180.0,-86.0,270.0,top
R50,155.5,-97.55,270.0,top
R51,138.0,-88.5,270.0,top
R52,185.633538,-88.818599,180.0,top
R6,178.5,-81.5,0.0,top
R68,156.55,-112.0,0.0,top
R69,173.95,-101.5,180.0,top
R7,173.0,-97.0,180.0,top
R70,173.5,-111.3,90.0,top
R8,149.5,-90.0,0.0,top
R9,156.5,-90.0,0.0,top
T1,159.5,-79.5,270.0,top
U1,145.25,-106.6769,270.0,top
