"Reference","Value","Qty","Manufacturer_Name","Manufacturer_Part_Number"
"C1","C","1","",""
"C2","10n","1","Syfer","0805Y1000104JXT"
"CP1","Comparator","1","Texas Instruments","LMV331M7/NOPB"
"J1","2P Droit 2-11-2022","1","",""
"J3","3P Droit 22-11-2032","1","Molex","22-11-2032"
"R1","3k9","1","KOA Speer","RK73H2BLTDD2152F"
"R2,R3","8k2","2","KOA Speer","RK73H2BLTDD2152F"
"R4,R5,R7","1k","3","KOA Speer","RK73H2BLTDD2152F"
"R6","2k","1","KOA Speer","RK73H2BLTDD2152F"
"U1","Alim LP TSR_0.5-2450","1","Traco Power","TSR 0.5-2450"
