"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"R12,R2,R28,R23,R16,R11,R29,R6,R27,R19,R17,R25,R5,R24,R3,R1,R13,R18,R7,R22,R14,R26,R9,R4,R30,R20,R8,R21,R15,R10";"RESC3216X70N";30;"Résistance RK73H2BLTDD2152F";;;
2;"D6,D4,D10,D8,D2,D1,D9,D5,D7,D11,D3";"LED_D5.0mm";11;"LED";;;
3;"TP4,TP2,TP1,TP3";"TestPoint_Pad_D2.0mm";4;"TestPoint";;;
4;"C19,C7,C1,C8,C18,C12,C9,C5,C13,C15,C10,C14,C3,C4,C2,C6,C17,C11";"CAPC2012X130N";18;"Condensateur 0805Y1000104JXT";;;
5;"J10,J7,J1,J5,J9,J3,J11,J6,J2,J8";"MOLEX_22-11-2022";10;"2P Droit 2-11-2022";;;
6;",,";"";3;"";;;
7;"G12";"SOT95P280X145-5N";1;"Gate NOR SN74AHCT1G02DBVR";;;
8;"G2,G6,G1,G5,G7,G3,G4";"SOT95P280X145-5N";7;"Gate AND SN74AHCT1G08DBVR";;;
9;"K3,K2,K1";"CPC1394GR";3;"SSR CPC1394GR";;;
10;"G11,G8,G10,G13";"SOT95P280X145-5N";4;"Gate OR SN74AHCT1G32DBVR";;;
11;"G9";"SOT95P280X145-5N";1;"Gate NAND SN74AHCT1G00DBVR";;;
12;"PS1";"TSR-2";1;"Alim HP TSR_2-2450";;;
13;"Q4,Q2";"SOT95P237X112-3N";2;"NMOS SQ2348ES-T1_GE3";;;
14;"DL1";"SOIC127P600X175-14N";1;"Bascule D SN74HCS72QDRQ1";;;
15;"CP1";"SOIC127P600X175-8N";1;"Comparateur Double LM393LVDR";;;
16;"TI1";"DIP-8_W7.62mm_Socket";1;"Timer 555 LM555CMX_NOPB";;;
17;"CP2";"SOT95P280X145-5N";1;"Comparateur TS391ILT";;;
18;"C16";"CP_Radial_D5.0mm_P2.00mm";1;"C";;;
19;"J4";"MOLEX_22-11-2032";1;"3P Droit 22-11-2032";;;
20;"RV1";"3296Y1223LF";1;"Varystor 3296Y-1-223LF";;;
