"Source:","C:\AA_ECL\EPSA\Saison 2023\Git Cloning\ELIZ-2022\Cartes\TSAL\TSAL\TSAL.kicad_sch"
"Date:","04/12/2022 22:20:06"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","61"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","Render Name","STANDARD","Spice_Lib_File","Spice_Model","Spice_Netlist_Enabled","Spice_Node_Sequence","Spice_Primitive"
"","","C1","Condensateur 0805Y1000104JXT","EPSA_lib:Condensateur 0805Y1000104JXT","EPSA_lib:CAPC2012X130N","http://docs-europe.electrocomponents.com/webdocs/119d/0900766b8119d7bc.pdf","0805Y1000104JXT","https://www.arrow.com/en/products/0805y1000104jxt/syfer-technology?region=europe","Syfer 0805 Ceramic Chip Capacitors","1.3","","","Syfer","0805Y1000104JXT","","","","Condensateur","","","1u","Y","","C"
"","","C2","Condensateur 0805Y1000104JXT","EPSA_lib:Condensateur 0805Y1000104JXT","EPSA_lib:CAPC2012X130N","http://docs-europe.electrocomponents.com/webdocs/119d/0900766b8119d7bc.pdf","0805Y1000104JXT","https://www.arrow.com/en/products/0805y1000104jxt/syfer-technology?region=europe","Syfer 0805 Ceramic Chip Capacitors","1.3","","","Syfer","0805Y1000104JXT","","","","Condensateur","","","0.1u","Y","","C"
"","","C3","Condensateur 0805Y1000104JXT","EPSA_lib:Condensateur 0805Y1000104JXT","EPSA_lib:CAPC2012X130N","http://docs-europe.electrocomponents.com/webdocs/119d/0900766b8119d7bc.pdf","0805Y1000104JXT","https://www.arrow.com/en/products/0805y1000104jxt/syfer-technology?region=europe","Syfer 0805 Ceramic Chip Capacitors","1.3","","","Syfer","0805Y1000104JXT","","","","Condensateur","","","2.2u","Y","","C"
"","","C4","Condensateur 0805Y1000104JXT","EPSA_lib:Condensateur 0805Y1000104JXT","EPSA_lib:CAPC2012X130N","http://docs-europe.electrocomponents.com/webdocs/119d/0900766b8119d7bc.pdf","0805Y1000104JXT","https://www.arrow.com/en/products/0805y1000104jxt/syfer-technology?region=europe","Syfer 0805 Ceramic Chip Capacitors","1.3","","","Syfer","0805Y1000104JXT","","","","Condensateur","","","2.2u","Y","","C"
"","","C5","Condensateur 0805Y1000104JXT","EPSA_lib:Condensateur 0805Y1000104JXT","EPSA_lib:CAPC2012X130N","http://docs-europe.electrocomponents.com/webdocs/119d/0900766b8119d7bc.pdf","0805Y1000104JXT","https://www.arrow.com/en/products/0805y1000104jxt/syfer-technology?region=europe","Syfer 0805 Ceramic Chip Capacitors","1.3","","","Syfer","0805Y1000104JXT","","","","Condensateur","","","1u","Y","","C"
"","","C6","Condensateur 0805Y1000104JXT",":Condensateur 0805Y1000104JXT_1","EPSA_lib:CAPC2012X130N","http://docs-europe.electrocomponents.com/webdocs/119d/0900766b8119d7bc.pdf","0805Y1000104JXT","https://www.arrow.com/en/products/0805y1000104jxt/syfer-technology?region=europe","Syfer 0805 Ceramic Chip Capacitors","1.3","","","Syfer","0805Y1000104JXT","","","","Condensateur","","","0.01u","Y","","C"
"","","CP1","Comparateur Double LM393LVDR","EPSA_lib:Comparateur Double LM393LVDR","EPSA_lib:SOIC127P600X175-8N","https://www.ti.com/lit/ds/symlink/lm393lv.pdf?ts=1609509320428&ref_url=https%253A%252F%252Feu.mouser.com%252F","LM393LVDR","https://www.arrow.com/en/products/lm393lvdr/texas-instruments","Analog Comparators 1.65-V to 5.5-V, low voltage dual commodity comparator","1.75","","","Texas Instruments","LM393LVDR","595-LM393LVDR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM393LVDR?qs=zW32dvEIR3vk5%2FzEI25KTQ%3D%3D","","Comparateur Double","","${EPSA}\SpiceModel\CD_lm393.lib","LM2903B_Dual","Y","","X"
"","","CP2","Comparateur TS391ILT","EPSA_lib:Comparateur TS391ILT","EPSA_lib:SOT95P280X145-5N","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00001660.pdf","TS391ILT","https://www.arrow.com/en/products/ts391ilt/stmicroelectronics?region=europe","TS391ILT, Comparator Open Collector 0.3us 12 V, 15 V, 18 V, 24 V, 28 V, 3 V, 5 V, 9 V 5-Pin SOT-23","1.45","","","STMicroelectronics","TS391ILT","511-TS391IL","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/TS391ILT?qs=P8h1tZw8GcB9GWR61XM17g%3D%3D","","Comparateur","","${EPSA}\SpiceModel\C_ts391.lib","TS391","Y","4,3,5,2,1","X"
"","","DL1","Bascule D SN74HCS72QDRQ1","EPSA_lib:Bascule D SN74HCS72QDRQ1","EPSA_lib:SOIC127P600X175-14N","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74hcs72-q1","SN74HCS72QDRQ1","https://www.arrow.com/en/products/sn74hcs72qdrq1/texas-instruments?region=nac","Flip-Flops Automotive Schmitt-trigger input dual D-type negative-edge-triggered flip-flops w/ clear and preset 14-SOIC -40 to 125","1.75","","","Texas Instruments","SN74HCS72QDRQ1","595-SN74HCS72QDRQ1","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74HCS72QDRQ1?qs=Cb2nCFKsA8rdYGfO8j6PMA%3D%3D","","Bascule","","${EPSA}\SpiceModel\BD_SN74HCS72.lib","SN74HCS72_Double","Y","","X"
"","","G1","Gate AND SN74AHCT1G08DBVR","EPSA_lib:Gate AND SN74AHCT1G08DBVR","EPSA_lib:SOT95P280X145-5N","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000128638.pdf","SN74AHCT1G08DBVR","https://www.arrow.com/en/products/sn74ahct1g08dbvr/texas-instruments?region=nac","SN74AHCT1G08DBVR, Logic Gate 2 Input AND, AHCT, 8mA 5V 5-Pin SOT-23","1.45","","","Texas Instruments","SN74AHCT1G08DBVR","595-SN74AHCT1G08DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AHCT1G08DBVR?qs=8Pd2FuFSoMGY9AK%2Ftqwbcw%3D%3D","","Gate AND","","${EPSA}\SpiceModel\AND_SN74AHC1G08.lib","SN74AHC1G08","Y","4,1,2,5,3","X"
